,garden,Dock,Capital,Royal Market,Guarding Tower,River,renovation,dining rooms,bedrooms,bathrooms,visit,Sorcerer,blessings,Holy tree,Golden Grains
garden,1.0,0.008771150228653676,0.011667102981581816,0.007326809680351452,-0.00785063526603265,0.007103250031458238,0.00556983721685891,0.004456377613827838,0.007469404542273315,0.018832360841978944,1.0,0.001996666707276225,-0.009016929284480349,-0.0012576691307763417,-0.06383685776311583
Dock,0.008771150228653676,1.0,0.009614707798226966,0.0009137411169261279,0.0012668918846284588,-0.00020812396083333897,0.003872801930584614,0.008699523115421538,0.00472585997997105,-0.005767342437949413,0.00872565918888052,0.01510243204537813,-0.008369883421835355,0.020767728863448937,-0.16042156575181865
Capital,0.011667102981581816,0.009614707798226966,1.0,0.0015310319782060493,-0.0016047053184115392,-0.003879196011932605,0.011601568788889233,0.00282677381736962,-0.0004281393096739155,-0.0030408519624594353,0.011229351266746944,0.010442198551898827,-0.9999645442330722,-0.003603839020561354,-0.8759486655047839
Royal Market,0.007326809680351452,0.0009137411169261279,0.0015310319782060493,1.0,0.00011353826254580787,0.000861766440624938,-0.0009032924602263332,-0.0019430375434674133,0.0044520708191539875,0.003556055906273464,0.00655905737154448,0.0023909476475424663,-0.00263818640543443,0.008649242625902368,-0.21308858538570416
Guarding Tower,-0.00785063526603265,0.0012668918846284588,-0.0016047053184115392,0.00011353826254580787,1.0,0.008473395328830664,0.0038143813048317856,-0.010964491270228562,0.006647510000351905,-0.009549231880554001,-0.00718748771846137,-0.005158097541545435,0.002778986852838343,-0.005587705555654454,-0.13295051475750633
River,0.007103250031458238,-0.00020812396083333897,-0.003879196011932605,0.000861766440624938,0.008473395328830664,1.0,-0.004554341301747083,-0.0015378221461324947,0.00813292901591697,-0.01522046890237219,0.007026526937709704,0.007810952711054168,2.7198087165826663e-05,0.004379290993100103,-0.1291845816128721
renovation,0.00556983721685891,0.003872801930584614,0.011601568788889233,-0.0009032924602263332,0.0038143813048317856,-0.004554341301747083,1.0,0.0020947871110801653,0.0036974393847825034,0.01848580793220525,0.006008844798214297,-0.006548865534476326,-0.0073471468192079755,-0.005056750823123574,-0.007549932760221234
dining rooms,0.004456377613827838,0.008699523115421538,0.00282677381736962,-0.0019430375434674133,-0.010964491270228562,-0.0015378221461324947,0.0020947871110801653,1.0,0.002180802438301277,0.0052606857401224965,0.0034776142290819925,0.01882620868740038,-0.0016259492886331725,0.008538228449446543,0.12420315286836019
bedrooms,0.007469404542273315,0.00472585997997105,-0.0004281393096739155,0.0044520708191539875,0.006647510000351905,0.00813292901591697,0.0036974393847825034,0.002180802438301277,1.0,0.008205000820806836,0.007098949037240524,-0.010679998758949719,0.0007119089668361394,-0.006089318976177563,0.14991934177274793
bathrooms,0.018832360841978944,-0.005767342437949413,-0.0030408519624594353,0.003556055906273464,-0.009549231880554001,-0.01522046890237219,0.01848580793220525,0.0052606857401224965,0.008205000820806836,1.0,0.01732862593266332,0.0021156716758377737,0.003912332394046037,0.0027085752024027165,0.024815623377285705
visit,1.0,0.00872565918888052,0.011229351266746944,0.00655905737154448,-0.00718748771846137,0.007026526937709704,0.006008844798214297,0.0034776142290819925,0.007098949037240524,0.01732862593266332,1.0,0.0009801188744481967,-0.00913554392423038,-0.0013104281293052815,-0.06083107859018476
Sorcerer,0.001996666707276225,0.01510243204537813,0.010442198551898827,0.0023909476475424663,-0.005158097541545435,0.007810952711054168,-0.006548865534476326,0.01882620868740038,-0.010679998758949719,0.0021156716758377737,0.0009801188744481967,1.0,-0.010172931059157807,0.964398254523001,-0.04885284465614539
blessings,-0.009016929284480349,-0.008369883421835355,-0.9999645442330722,-0.00263818640543443,0.002778986852838343,2.7198087165826663e-05,-0.0073471468192079755,-0.0016259492886331725,0.0007119089668361394,0.003912332394046037,-0.00913554392423038,-0.010172931059157807,1.0,0.0023995861007165627,0.8462285170980597
Holy tree,-0.0012576691307763417,0.020767728863448937,-0.003603839020561354,0.008649242625902368,-0.005587705555654454,0.004379290993100103,-0.005056750823123574,0.008538228449446543,-0.006089318976177563,0.0027085752024027165,-0.0013104281293052815,0.964398254523001,0.0023995861007165627,1.0,-0.0336360332367947
Golden Grains,-0.06383685776311583,-0.16042156575181865,-0.8759486655047839,-0.21308858538570416,-0.13295051475750633,-0.1291845816128721,-0.007549932760221234,0.12420315286836019,0.14991934177274793,0.024815623377285705,-0.06083107859018476,-0.04885284465614539,0.8462285170980597,-0.0336360332367947,1.0
